混凝土浇筑旁站每周抽查汇总报告
生成时间：2026-06-22 01:37:14
规则来源：D:\trae-bz\TraeProjects\10074\示例项目_阳光花园二期\inspection_rules.json

一、总体情况
指标,数值
总记录数,16
合格记录数,2
问题记录数,14
资料合格率,12.5%
累计问题数,24
严重问题数,2
重要问题数,18
一致性冲突记录,7
未匹配清单数,2

二、楼栋问题排行
排名,楼栋,记录数,问题记录数,问题总数,严重问题数,合格率
1,1号楼,7,6,9,1,14.3%
2,5号楼,3,3,6,1,0.0%
3,3号楼,3,3,5,0,0.0%
4,2号楼,3,2,4,0,33.3%

三、监理员问题排行
排名,监理员,记录数,问题记录数,问题总数
1,李四,5,4,9
2,赵六,5,4,7
3,张三,4,4,5
4,王五,2,2,3

四、问题类型分布
问题类型,数量,占比
部位不一致,5,20.8%
缺少旁站照片,4,16.7%
缺少坍落度,3,12.5%
缺少旁站日志,3,12.5%
缺少试块组数,2,8.3%
缺少监理签名,2,8.3%
清单记录未匹配,2,8.3%
监理员不一致,1,4.2%
照片时间异常,1,4.2%
强度等级不一致,1,4.2%

五、责任岗位分布
责任岗位,问题数,占比
项目质量总监,9,37.5%
试验员,5,20.8%
旁站监理员,5,20.8%
施工资料员,5,20.8%

六、未匹配清单记录
序号,楼栋,部位,强度等级,浇筑日期,监理员
1,3号楼,一层墙板,C30P6,2024-01-06,赵六
2,2号楼,一层墙板,C40,2024-01-13,李四
